,Country,Region,Population,GDP_per_capita_USD,Mean_USD
0,Argentina,Americas,46654581.0,13394.34,4818.787162536471
1,Australia,Oceania,26821557.0,62596.27,57545.63758389262
2,Austria,Europe,9159993.0,60594.25,53503.2967032967
3,Bahamas,Americas,397360.0,35541.82,47782.0
4,Belarus,Europe,9200617.0,7238.1,5324.316109422492
5,Belgium,Europe,11814353.0,56084.96,57830.76923076923
6,Bosnia and Herzegovina,Europe,3277082.0,8317.4,8727.374301675978
7,Brazil,Americas,203080756.0,11029.18,17383.367556468173
8,Bulgaria,Europe,6447710.0,17319.64,13602.793296089383
9,Canada,Americas,40769890.0,55527.99,49794.11764705882
10,Chile,Americas,19960889.0,17647.27,18769.849386492795
11,China,Asia,1409670000.0,13155.89,24550.70422535212
12,Colombia,Americas,52695952.0,7087.11,11241.087696318267
13,Costa Rica,Americas,5262225.0,17249.42,24528.30024519497
14,Croatia,Europe,3855641.0,22519.93,22524.17582417582
15,Czech Republic,Europe,10900555.0,32391.38,27123.639607493307
16,Denmark,Europe,5961249.0,72940.26,63812.33480176212
17,Ecuador,Americas,16938986.0,6630.08,21949.0
18,Egypt,Africa,104462545.0,3319.79,5078.715120051915
19,Estonia,Europe,1366491.0,33017.71,21906.593406593405
20,Finland,Europe,5574011.0,56157.02,55714.28571428571
21,France,Europe,68394000.0,48222.64,50300.0
22,Georgia,Asia,3736400.0,8573.08,11009.022556390975
23,Germany,Europe,84607016.0,56036.84,55163.73626373626
24,Greece,Europe,10413982.0,24512.9,30760.43956043956
25,Guatemala,Americas,17602431.0,5747.71,23030.40629095675
26,Hong Kong,Asia,7498100.0,54078.37,51065.04481434059
27,Hungary,Europe,9584000.0,23008.49,19301.51049518729
28,Iceland,Europe,396960.0,87865.33,55473.58765288293
29,India,Asia,1392329000.0,2847.56,9921.35291285508
30,Indonesia,Asia,279118866.0,5509.13,15214.013502360012
31,Iraq,Asia,43324000.0,6104.35,16843.810599787972
32,Ireland,Europe,5281600.0,117979.5,51889.01098901099
33,Israel,Asia,9867000.0,54058.94,41299.45799457995
34,Italy,Europe,58989749.0,38925.89,41592.30769230769
35,Jamaica,Americas,2825544.0,7310.19,14995.2087566363
36,Japan,Asia,123990000.0,34554.92,37320.1386001386
37,Kazakhstan,Asia,20075271.0,14395.61,12557.16056762082
38,Luxembourg,Europe,660809.0,140307.61,66262.63736263735
39,Malaysia,Asia,33379500.0,13913.2,17446.236559139783
40,Malta,Europe,519562.0,41124.11,34096.703296703294
41,Mexico,Americas,129625968.0,15071.99,16696.26334519573
42,Morocco,Africa,37022000.0,4212.02,14151.32382892057
43,Netherlands,Europe,17960485.0,65194.93,51928.57142857143
44,New Zealand,Oceania,5305600.0,47222.6,49347.5
45,Norway,Europe,5550203.0,102459.15,56493.04347826087
46,Pakistan,Asia,241499431.0,1471.1,4974.5147890854405
47,Panama,Americas,4064780.0,19346.09,24587.0
48,Peru,Americas,33396698.0,7952.03,12048.509485094852
49,Philippines,Asia,112892781.0,4168.99,7024.577793747755
50,Poland,Europe,37620000.0,23434.21,24554.156171284634
51,Portugal,Europe,10467366.0,28122.86,31473.62637362637
52,Romania,Europe,19051562.0,20214.0,17954.845814977973
53,Russia,Europe,146150789.0,13324.12,10589.908660724112
54,Saudi Arabia,Asia,32175224.0,33144.34,34133.066666666666
55,Singapore,Asia,5917600.0,91727.95,48863.90977443608
56,Slovakia,Europe,5424687.0,26713.72,24837.36263736264
57,South Africa,Africa,62027503.0,6426.89,19266.666666666668
58,South Korea,Asia,51303688.0,34653.14,39516.689990873136
59,Spain,Europe,48592909.0,34932.61,38981.31868131868
60,Sweden,Europe,10549287.0,56894.24,41749.17073170732
61,Switzerland,Europe,8960817.0,110246.11,91498.82352941176
62,Taiwan,Asia,23420442.0,34046.2,33286.07881136951
63,Thailand,Asia,68263022.0,7731.3,15504.26811801776
64,Trinidad and Tobago,Americas,1367510.0,20739.03,16142.0814479638
65,Turkey,Asia,85372377.0,15368.27,9055.722891566264
66,Ukraine,Europe,36700000.0,5530.61,7902.879027997887
67,United Arab Emirates,Asia,9282410.0,52406.86,50483.10626702997
68,United Kingdom,Europe,67596281.0,52426.3,49092.40506329114
69,United States,Americas,335893238.0,83062.62,64443.0
70,Uruguay,Americas,3444263.0,22658.59,17450.129198966406
71,Vietnam,Asia,100300000.0,4636.37,13517.141242705678
