,Country,Region,Population,Average Government Expenditure as % of GDP,Annualized percentage change in GDP per capita USD,start_year,end_year
0,Chile,Americas,1540246.0,6.228984576231629,1.0572869133934848,1850,1855
1,Spain,Europe,15263826.0,10.218791365621145,2.096512377278925,1850,1855
2,Sweden,Europe,3639423.0,5.122499233933587,0.8371768114582068,1850,1855
3,United Kingdom,Europe,28018862.0,9.774485883307056,1.8508018516060876,1850,1855
4,United States,Americas,27366540.0,2.279044056580217,2.7601788664233906,1850,1855
5,Chile,Americas,1567639.0,6.451408709812715,0.4978909095792128,1851,1856
6,Spain,Europe,15338812.0,11.220546734896232,0.9039611754678933,1851,1856
7,Sweden,Europe,3675911.0,5.139851342487551,1.0365513005329285,1851,1856
8,United Kingdom,Europe,28189300.0,9.574470604515275,2.2873958651485893,1851,1856
9,United States,Americas,28188865.0,2.5415607540549026,2.368913667386785,1851,1856
10,Chile,Americas,1595516.0,6.659211673748797,0.8128872465030357,1852,1857
11,Spain,Europe,15414166.0,12.135476251154783,-0.4503589084747017,1852,1857
12,Sweden,Europe,3712765.0,5.160949261707577,2.031285725331844,1852,1857
13,United Kingdom,Europe,28360774.0,9.379662768368872,1.6441324522200818,1852,1857
14,United States,Americas,29035895.0,2.782668794275029,0.9154253323139905,1852,1857
15,Chile,Americas,1623887.0,6.852312091337882,2.0951029822659617,1853,1858
16,Spain,Europe,15489891.0,12.9632421029073,-0.06135898161991893,1853,1858
17,Sweden,Europe,3749989.0,5.185779958478829,2.0055114537254504,1853,1858
18,United Kingdom,Europe,28533291.0,9.190146415753107,0.6052194918442888,1853,1858
19,United States,Americas,29908371.0,3.002277812028657,-0.3110186099864354,1853,1858
20,Chile,Americas,1652559.0,7.030608445403527,2.365575132421527,1854,1859
21,Spain,Europe,15561625.0,13.703387076384152,0.6538684166949693,1854,1859
22,Sweden,Europe,3786484.0,5.21433551308038,2.495452759622796,1854,1859
23,United Kingdom,Europe,28719933.0,9.006012836160808,0.4921775628954794,1854,1859
24,United States,Americas,30763983.0,3.2002679913881398,0.16266219928333658,1854,1859
25,Chile,Americas,1681533.0,7.194208960488211,2.1897006026273536,1855,1860
26,Spain,Europe,15629333.0,14.356408149800457,0.406225236338309,1855,1860
27,Sweden,Europe,3822233.0,5.246622142323691,1.6556693209875073,1855,1860
28,United Kingdom,Europe,28920894.0,8.827168326101186,1.384865443758998,1855,1860
29,United States,Americas,31601240.0,3.3767689562293293,1.1295817755870408,1855,1860
30,Chile,Americas,1710812.0,7.343161458087409,1.993223290087398,1856,1861
31,Spain,Europe,15692979.0,14.922444203474592,1.4262771209443859,1856,1861
32,Sweden,Europe,3857220.0,5.282661398536435,1.0397016096048928,1856,1861
33,United Kingdom,Europe,29136372.0,8.65354092129248,0.04384742786616158,1856,1861
34,United States,Americas,32418583.0,3.5318220051520473,0.30084638645531125,1856,1861
35,Chile,Americas,1740397.0,7.477411409339609,1.2149853584763504,1857,1862
36,Spain,Europe,15752530.0,15.4013165926427,2.0437186003492647,1857,1862
37,Sweden,Europe,3891427.0,5.322433432300406,-0.12123919714838172,1857,1862
38,United Kingdom,Europe,29366564.0,8.485205000014409,-1.0374422400657224,1857,1862
39,United States,Americas,33214384.0,3.6653760316082664,1.3605544432022443,1857,1862
40,Chile,Americas,1770288.0,7.596884144908853,1.0738460641941838,1858,1863
41,Spain,Europe,15807948.0,15.79272727026077,1.926047570557543,1858,1863
42,Sweden,Europe,3924837.0,5.365923507591302,0.48415389492342253,1858,1863
43,United Kingdom,Europe,29611672.0,8.322242189154268,1.1458111336598797,1858,1863
44,United States,Americas,33986941.0,3.777350478334253,2.533741849789961,1858,1863
45,Chile,Americas,1800691.0,7.701661041497136,1.348633388451148,1859,1864
46,Spain,Europe,15863561.0,16.097014047818295,0.8664247743367159,1859,1864
47,Sweden,Europe,3958533.0,5.413144657523959,0.13604068737587127,1859,1864
48,United Kingdom,Europe,29858827.0,8.1645684478268,0.875030863913917,1859,1864
49,United States,Americas,34777462.0,3.8678357105419465,2.654987131091535,1859,1864
50,Chile,Americas,1831612.0,7.791763072759449,1.4913717547365701,1860,1865
51,Spain,Europe,15919369.0,16.31415663890802,-0.6909903610611945,1860,1865
52,Sweden,Europe,3992519.0,5.464125250729421,0.12334295908975612,1860,1865
53,United Kingdom,Europe,30108044.0,8.012121474355789,0.9529572880559556,1860,1865
54,United States,Americas,35586364.0,3.936833768167256,1.0467783446767243,1860,1865
55,Chile,Americas,1863062.0,7.867162557674765,2.1295687600135116,1861,1866
56,Spain,Europe,15975374.0,16.444135565491713,0.46265657957960116,1861,1866
57,Sweden,Europe,4026796.0,5.518838621486111,0.5934505959379832,1861,1866
58,United Kingdom,Europe,30359341.0,7.864965984415416,1.6448338408828533,1861,1866
59,United States,Americas,36414073.0,3.9843328033260668,1.301403258321887,1861,1866
60,Chile,Americas,1895049.0,7.927811674747609,1.4146528259108448,1862,1867
61,Spain,Europe,16031576.0,16.486811947251002,0.1450771391734662,1862,1867
62,Sweden,Europe,4061368.0,5.577263217466354,1.5132384138127453,1862,1867
63,United Kingdom,Europe,30612735.0,7.723173942287431,2.628879097628234,1862,1867
64,United States,Americas,37261027.0,4.010291517418557,1.334254358193121,1862,1867
65,Chile,Americas,1927582.0,7.973764952839488,1.436810728734761,1863,1868
66,Spain,Europe,16087976.0,16.442364428949748,-2.78410517236235,1863,1868
67,Sweden,Europe,4096237.0,5.639418888088357,-1.2169604125404798,1863,1868
68,United Kingdom,Europe,30868245.0,7.586670969692122,1.7607107644598718,1863,1868
69,United States,Americas,38127674.0,4.014761016992755,0.3452450411855601,1863,1868
70,Chile,Americas,1960439.0,8.005016517764918,2.0940100243337367,1864,1869
71,Spain,Europe,16146102.0,16.31061355745506,-1.9836770678297255,1864,1869
72,Sweden,Europe,4132102.0,5.705340818286538,-0.1778067941366035,1864,1869
73,United Kingdom,Europe,31134963.0,7.455404427558805,1.406137264928753,1864,1869
74,United States,Americas,39007998.0,3.9977040833206554,0.2199093359690485,1864,1869
75,Argentina,Americas,1793208.0,8.56,,1865,1870
76,Belgium,Europe,5094086.0,4.8,,1865,1870
77,Canada,Americas,3761273.0,4.94,,1865,1870
78,Chile,Americas,1993622.0,8.021565536343351,1.7832120937273377,1865,1870
79,France,Europe,38186983.0,13.24,,1865,1870
80,India,Asia,251115205.0,6.26,,1865,1870
81,Italy,Europe,27745148.0,9.85,,1865,1870
82,Spain,Europe,16205967.0,16.091699021454342,-0.604737511153175,1865,1870
83,Sweden,Europe,4168979.0,5.774995526035945,1.883652885231446,1865,1870
84,United Kingdom,Europe,31413071.0,7.3294293689561245,1.7945423796150717,1865,1870
85,United States,Americas,39902173.0,3.9591481271820563,0.7052581288162107,1865,1870
86,Argentina,Americas,1850807.0,8.531223034672518,,1866,1871
87,Belgium,Europe,5134332.0,4.832096295501469,,1866,1871
88,Canada,Americas,3811061.0,5.115470682242117,,1866,1871
89,Chile,Americas,2027132.0,8.023391034919792,0.9640877560542771,1866,1871
90,France,Europe,38257751.0,13.299427888566237,,1866,1871
91,India,Asia,251636609.0,6.35977273844217,,1866,1871
92,Italy,Europe,27908950.0,9.835560723474773,,1866,1871
93,Spain,Europe,16267583.0,15.785641107354849,-0.2957497606702164,1866,1871
94,Sweden,Europe,4206884.0,5.848354642705535,2.9262114719401877,1866,1871
95,United Kingdom,Europe,31702755.0,7.208808095560298,1.2384351622457546,1866,1871
96,United States,Americas,40810375.0,3.8990911086410516,1.3493393603372539,1866,1871
97,Argentina,Americas,1910088.0,8.502859329459335,,1867,1872
98,Belgium,Europe,5176056.0,4.869650885171668,,1867,1872
99,Canada,Americas,3863995.0,5.27842742510639,,1867,1872
100,Chile,Americas,2060971.0,8.01052069451527,2.7712583250106393,1867,1872
