,Country,Region,Population,Average Government Expenditure as % of GDP,Average percentage change in GDP per capita USD,start_year,end_year
0,Chile,Americas,1540246.0,6.228984576231629,1.0798816568047354,1850,1855
1,Spain,Europe,15263826.0,10.218791365621145,2.1862820475403977,1850,1855
2,Sweden,Europe,3639423.0,5.122499233933587,0.8513119533527691,1850,1855
3,United Kingdom,Europe,28018862.0,9.774485883389685,1.9205909510618646,1850,1855
4,United States,Americas,27366540.0,2.2790440566282806,2.916814709980118,1850,1855
5,Chile,Americas,1567639.0,6.451408709812715,0.5028735632183912,1851,1856
6,Spain,Europe,15338812.0,11.220546734896232,0.9204524941542314,1851,1856
7,Sweden,Europe,3675911.0,5.139851342487551,1.0582639714625452,1851,1856
8,United Kingdom,Europe,28189300.0,9.574470604626233,2.3944605762787585,1851,1856
9,United States,Americas,28188865.0,2.5415607541194447,2.483839098804923,1851,1856
10,Chile,Americas,1595516.0,6.659211673748797,0.8262108262108248,1852,1857
11,Spain,Europe,15414166.0,12.135476251154783,-0.44632067308784107,1852,1857
12,Sweden,Europe,3712765.0,5.160949261707577,2.1155015197568394,1852,1857
13,United Kingdom,Europe,28360774.0,9.379662768504124,1.699092088197145,1852,1857
14,United States,Americas,29035895.0,2.7826687943537016,0.9323395325641215,1852,1857
15,Chile,Americas,1623887.0,6.852312091337882,2.184750733137828,1853,1858
16,Spain,Europe,15489891.0,12.9632421029073,-0.06128372931562209,1853,1858
17,Sweden,Europe,3749989.0,5.185779958478829,2.087582483503301,1853,1858
18,United Kingdom,Europe,28533291.0,9.190146415908606,0.6125897760878729,1853,1858
19,United States,Americas,29908371.0,3.0022778121191056,-0.3090899662461566,1853,1858
20,Chile,Americas,1652559.0,7.030608445403527,2.480173035328046,1854,1859
21,Spain,Europe,15561625.0,13.703387076384152,0.6624753893462598,1854,1859
22,Sweden,Europe,3786484.0,5.21433551308038,2.623145400593474,1854,1859
23,United Kingdom,Europe,28719933.0,9.006012836332493,0.4970462415970678,1854,1859
24,United States,Americas,30763983.0,3.2002679914880043,0.1631922405807007,1854,1859
25,Chile,Americas,1681533.0,7.194208960488211,2.287719298245614,1855,1860
26,Spain,Europe,15629333.0,14.356408149800457,0.4095390494162343,1855,1860
27,Sweden,Europe,3822233.0,5.246622142323691,1.7114093959731536,1855,1860
28,United Kingdom,Europe,28920894.0,8.827168326285012,1.423757371524852,1855,1860
29,United States,Americas,31601240.0,3.376768956336257,1.1553907661811236,1855,1860
30,Chile,Americas,1710812.0,7.343161458087409,2.0742817098808697,1856,1861
31,Spain,Europe,15692979.0,14.922444203474592,1.4675468850355955,1856,1861
32,Sweden,Europe,3857220.0,5.282661398536435,1.0615471485036698,1856,1861
33,United Kingdom,Europe,29136372.0,8.653540921484405,0.04388589666866061,1856,1861
34,United States,Americas,32418583.0,3.5318220052636846,0.3026620114508294,1856,1861
35,Chile,Americas,1740397.0,7.477411409339609,1.2448700410396718,1857,1862
36,Spain,Europe,15752530.0,15.4013165926427,2.12897906647608,1857,1862
37,Sweden,Europe,3891427.0,5.322433432300406,-0.1209455744914778,1857,1862
38,United Kingdom,Europe,29366564.0,8.485205000210385,-1.0161386730424393,1857,1862
39,United States,Americas,33214384.0,3.6653760317222606,1.3980837537367874,1857,1862
40,Chile,Americas,1770288.0,7.596884144908853,1.0971579643093188,1858,1863
41,Spain,Europe,15807948.0,15.79272727026077,2.0016835660560695,1858,1863
42,Sweden,Europe,3924837.0,5.365923507591302,0.4888647474198793,1858,1863
43,United Kingdom,Europe,29611672.0,8.322242189350243,1.1723713875794228,1858,1863
