,Country,Region,Population,Average Government Expenditure as % of GDP,Percentage change in GDP per capita USD,start_year,end_year
0,Chile,Americas,1540246.0,6.228984576231629,5.399408284023677,1850,1855
1,Spain,Europe,15263826.0,10.218791365621145,10.93141023770199,1850,1855
2,Sweden,Europe,3639423.0,5.122499233933587,4.2565597667638455,1850,1855
3,United Kingdom,Europe,28018862.0,9.774485883389685,9.602954755309323,1850,1855
4,United States,Americas,27366540.0,2.2790440566282806,14.58407354990059,1850,1855
5,Chile,Americas,1567639.0,6.451408709812715,2.514367816091956,1851,1856
6,Spain,Europe,15338812.0,11.220546734896232,4.602262470771157,1851,1856
7,Sweden,Europe,3675911.0,5.139851342487551,5.291319857312726,1851,1856
8,United Kingdom,Europe,28189300.0,9.574470604626233,11.972302881393793,1851,1856
9,United States,Americas,28188865.0,2.5415607541194447,12.419195494024615,1851,1856
10,Chile,Americas,1595516.0,6.659211673748797,4.131054131054124,1852,1857
11,Spain,Europe,15414166.0,12.135476251154783,-2.2316033654392053,1852,1857
12,Sweden,Europe,3712765.0,5.160949261707577,10.577507598784198,1852,1857
13,United Kingdom,Europe,28360774.0,9.379662768504124,8.495460440985724,1852,1857
14,United States,Americas,29035895.0,2.7826687943537016,4.6616976628206075,1852,1857
15,Chile,Americas,1623887.0,6.852312091337882,10.92375366568914,1853,1858
16,Spain,Europe,15489891.0,12.9632421029073,-0.30641864657811047,1853,1858
17,Sweden,Europe,3749989.0,5.185779958478829,10.437912417516504,1853,1858
18,United Kingdom,Europe,28533291.0,9.190146415908606,3.0629488804393645,1853,1858
19,United States,Americas,29908371.0,3.0022778121191056,-1.545449831230783,1853,1858
20,Chile,Americas,1652559.0,7.030608445403527,12.400865176640231,1854,1859
21,Spain,Europe,15561625.0,13.703387076384152,3.312376946731299,1854,1859
22,Sweden,Europe,3786484.0,5.21433551308038,13.11572700296737,1854,1859
23,United Kingdom,Europe,28719933.0,9.006012836332493,2.485231207985339,1854,1859
24,United States,Americas,30763983.0,3.2002679914880043,0.8159612029035035,1854,1859
25,Chile,Americas,1681533.0,7.194208960488211,11.43859649122807,1855,1860
26,Spain,Europe,15629333.0,14.356408149800457,2.0476952470811716,1855,1860
27,Sweden,Europe,3822233.0,5.246622142323691,8.557046979865767,1855,1860
28,United Kingdom,Europe,28920894.0,8.827168326285012,7.11878685762426,1855,1860
29,United States,Americas,31601240.0,3.376768956336257,5.776953830905618,1855,1860
30,Chile,Americas,1710812.0,7.343161458087409,10.371408549404348,1856,1861
31,Spain,Europe,15692979.0,14.922444203474592,7.3377344251779775,1856,1861
32,Sweden,Europe,3857220.0,5.282661398536435,5.307735742518349,1856,1861
33,United Kingdom,Europe,29136372.0,8.653540921484405,0.21942948334330303,1856,1861
34,United States,Americas,32418583.0,3.5318220052636846,1.513310057254147,1856,1861
