,Country,Region,Population,GDP_per_capita_USD,Median_USD
0,Argentina,Americas,46654581.0,13394.34,5967.540717213872
1,Australia,Oceania,26821557.0,62596.27,61642.95302013423
2,Austria,Europe,9159993.0,60594.25,56289.01098901099
3,Bahamas,Americas,397360.0,35541.82,44670.0
4,Belarus,Europe,9200617.0,7238.1,5744.376899696049
5,Belgium,Europe,11814353.0,56084.96,62282.41758241758
6,Bosnia and Herzegovina,Europe,3277082.0,8317.4,9635.195530726256
7,Brazil,Americas,203080756.0,11029.18,16441.273100616017
8,Bulgaria,Europe,6447710.0,17319.64,14236.871508379889
9,Canada,Americas,40769890.0,55527.99,51447.058823529405
10,Chile,Americas,19960889.0,17647.27,17600.120580124378
11,China,Asia,1409670000.0,13155.89,23301.690140845072
12,Colombia,Americas,52695952.0,7087.11,10633.119389759988
13,Costa Rica,Americas,5262225.0,17249.42,24556.721110495924
14,Croatia,Europe,3855641.0,22519.93,19701.0989010989
15,Czech Republic,Europe,10900555.0,32391.38,26046.38715432649
16,Denmark,Europe,5961249.0,72940.26,74177.23935389135
17,Ecuador,Americas,16938986.0,6630.08,21514.0
18,Egypt,Africa,104462545.0,3319.79,5069.240752757949
19,Estonia,Europe,1366491.0,33017.71,23709.890109890108
20,Finland,Europe,5574011.0,56157.02,58072.52747252747
21,France,Europe,68394000.0,48222.64,47783.51648351648
22,Georgia,Asia,3736400.0,8573.08,8898.496240601504
23,Germany,Europe,84607016.0,56036.84,58129.67032967033
24,Greece,Europe,10413982.0,24512.9,30748.351648351647
25,Guatemala,Americas,17602431.0,5747.71,21017.95543905636
26,Hong Kong,Asia,7498100.0,54078.37,49298.20742637645
27,Hungary,Europe,9584000.0,23008.49,18127.33097529862
28,Iceland,Europe,396960.0,87865.33,55737.97320908561
29,India,Asia,1392329000.0,2847.56,9152.660086663456
30,Indonesia,Asia,279118866.0,5509.13,16737.385803822446
31,Iraq,Asia,43324000.0,6104.35,18504.861911799984
32,Ireland,Europe,5281600.0,117979.5,56953.84615384615
33,Israel,Asia,9867000.0,54058.94,43042.81842818429
34,Italy,Europe,58989749.0,38925.89,43603.2967032967
35,Jamaica,Americas,2825544.0,7310.19,14722.448712066593
36,Japan,Asia,123990000.0,34554.92,37338.711018711016
37,Kazakhstan,Asia,20075271.0,14395.61,11567.884262026522
38,Luxembourg,Europe,660809.0,140307.61,76286.81318681319
39,Malaysia,Asia,33379500.0,13913.2,15664.731182795698
40,Malta,Europe,519562.0,41124.11,32441.75824175824
41,Mexico,Americas,129625968.0,15071.99,15729.655990510084
42,Morocco,Africa,37022000.0,4212.02,13514.460285132382
43,Netherlands,Europe,17960485.0,65194.93,60181.31868131868
44,New Zealand,Oceania,5305600.0,47222.6,50947.5
45,Norway,Europe,5550203.0,102459.15,54788.59903381643
46,Pakistan,Asia,241499431.0,1471.1,4979.857480484136
47,Panama,Americas,4064780.0,19346.09,24093.0
48,Peru,Americas,33396698.0,7952.03,11575.338753387534
49,Philippines,Asia,112892781.0,4168.99,8288.393819619116
50,Poland,Europe,37620000.0,23434.21,24311.83879093199
51,Portugal,Europe,10467366.0,28122.86,32141.75824175824
52,Romania,Europe,19051562.0,20214.0,17808.590308370043
53,Russia,Europe,146150789.0,13324.12,10458.743259601628
54,Saudi Arabia,Asia,32175224.0,33144.34,33051.73333333333
55,Singapore,Asia,5917600.0,91727.95,48735.33834586466
56,Slovakia,Europe,5424687.0,26713.72,22995.6043956044
57,South Africa,Africa,62027503.0,6426.89,19737.888531618435
58,South Korea,Asia,51303688.0,34653.14,34475.45406145421
59,Spain,Europe,48592909.0,34932.61,42243.956043956045
60,Sweden,Europe,10549287.0,56894.24,47459.41463414634
61,Switzerland,Europe,8960817.0,110246.11,97496.4705882353
62,Taiwan,Asia,23420442.0,34046.2,32955.103359173125
63,Thailand,Asia,68263022.0,7731.3,16438.613577771415
64,Trinidad and Tobago,Americas,1367510.0,20739.03,17140.422322775263
65,Turkey,Asia,85372377.0,15368.27,11587.751004016063
66,Ukraine,Europe,36700000.0,5530.61,7802.852614896989
67,United Arab Emirates,Asia,9282410.0,52406.86,50281.471389645776
68,United Kingdom,Europe,67596281.0,52426.3,49513.92405063291
69,United States,Americas,335893238.0,83062.62,64017.0
70,Uruguay,Americas,3444263.0,22658.59,17618.242894056846
71,Vietnam,Asia,100300000.0,4636.37,7317.32325141777
