,Country,Region,Population,GDP_per_capita_USD,Median_USD
0,Argentina,Americas,46654581.0,13394.34,14158.312713126765
1,Australia,Oceania,26821557.0,62596.27,215157.71812080537
2,Austria,Europe,9159993.0,60594.25,175195.6043956044
3,Bahamas,Americas,397360.0,35541.82,174116.0
4,Belarus,Europe,9200617.0,7238.1,13204.863221884498
5,Belgium,Europe,11814353.0,56084.96,182660.43956043955
6,Bosnia and Herzegovina,Europe,3277082.0,8317.4,30098.32402234637
7,Brazil,Americas,203080756.0,11029.18,60199.794661190965
8,Bulgaria,Europe,6447710.0,17319.64,66413.96648044692
9,Canada,Americas,40769890.0,55527.99,187795.5882352941
10,Chile,Americas,19960889.0,17647.27,77618.32482945728
11,China,Asia,1409670000.0,13155.89,99213.94366197185
12,Colombia,Americas,52695952.0,7087.11,35352.94499878003
13,Costa Rica,Americas,5262225.0,17249.42,101756.53523688998
14,Croatia,Europe,3855641.0,22519.93,63852.74725274725
15,Czech Republic,Europe,10900555.0,32391.38,89603.07760927742
16,Denmark,Europe,5961249.0,72940.26,204574.44933920703
17,Ecuador,Americas,16938986.0,6630.08,92281.0
18,Egypt,Africa,104462545.0,3319.79,13804.0233614536
19,Estonia,Europe,1366491.0,33017.71,80596.7032967033
20,Finland,Europe,5574011.0,56157.02,187400.0
21,France,Europe,68394000.0,48222.64,156458.24175824175
22,Georgia,Asia,3736400.0,8573.08,111900.37593984962
23,Germany,Europe,84607016.0,56036.84,170561.53846153847
24,Greece,Europe,10413982.0,24512.9,98612.08791208793
25,Guatemala,Americas,17602431.0,5747.71,120387.81127129753
26,Hong Kong,Asia,7498100.0,54078.37,186216.7733674776
27,Hungary,Europe,9584000.0,23008.49,69796.90073060419
28,Iceland,Europe,396960.0,87865.33,200858.24839836924
29,India,Asia,1392329000.0,2847.56,32566.165142031776
30,Indonesia,Asia,279118866.0,5509.13,57805.77512831756
31,Iraq,Asia,43324000.0,6104.35,67275.27025667613
32,Ireland,Europe,5281600.0,117979.5,185904.3956043956
33,Israel,Asia,9867000.0,54058.94,138935.50135501355
34,Italy,Europe,58989749.0,38925.89,150768.13186813187
35,Jamaica,Americas,2825544.0,7310.19,49945.17270760962
36,Japan,Asia,123990000.0,34554.92,154331.3929313929
37,Kazakhstan,Asia,20075271.0,14395.61,31855.159283611167
38,Luxembourg,Europe,660809.0,140307.61,265413.1868131868
39,Malaysia,Asia,33379500.0,13913.2,65915.48387096774
40,Malta,Europe,519562.0,41124.11,128451.64835164834
41,Mexico,Americas,129625968.0,15071.99,49457.11743772242
42,Morocco,Africa,37022000.0,4212.02,42721.18126272912
43,Netherlands,Europe,17960485.0,65194.93,173485.7142857143
44,New Zealand,Oceania,5305600.0,47222.6,184019.375
45,Norway,Europe,5550203.0,102459.15,184350.3381642512
46,Pakistan,Asia,241499431.0,1471.1,18486.74353648929
47,Panama,Americas,4064780.0,19346.09,102127.0
48,Peru,Americas,33396698.0,7952.03,42977.23577235772
49,Philippines,Asia,112892781.0,4168.99,24585.716852317644
50,Poland,Europe,37620000.0,23434.21,70692.44332493702
51,Portugal,Europe,10467366.0,28122.86,99118.68131868132
52,Romania,Europe,19051562.0,20214.0,59722.46696035242
53,Russia,Europe,146150789.0,13324.12,38527.830967315946
54,Saudi Arabia,Asia,32175224.0,33144.34,119696.8
55,Singapore,Asia,5917600.0,91727.95,174221.8045112782
56,Slovakia,Europe,5424687.0,26713.72,89503.2967032967
57,South Africa,Africa,62027503.0,6426.89,90246.62379421222
58,South Korea,Asia,51303688.0,34653.14,95006.52494675996
59,Spain,Europe,48592909.0,34932.61,123516.48351648352
60,Sweden,Europe,10549287.0,56894.24,133669.75609756098
61,Switzerland,Europe,8960817.0,110246.11,288836.4705882353
62,Taiwan,Asia,23420442.0,34046.2,134616.79586563306
63,Thailand,Asia,68263022.0,7731.3,55285.84932684045
64,Trinidad and Tobago,Americas,1367510.0,20739.03,64341.47812971343
65,Turkey,Asia,85372377.0,15368.27,23491.265060240963
66,Ukraine,Europe,36700000.0,5530.61,41355.441098785
67,United Arab Emirates,Asia,9282410.0,52406.86,194713.3514986376
68,United Kingdom,Europe,67596281.0,52426.3,177074.6835443038
69,United States,Americas,335893238.0,83062.62,272940.0
70,Uruguay,Americas,3444263.0,22658.59,69339.09560723514
71,Vietnam,Asia,100300000.0,4636.37,46859.538546889125
