Entity,Code,Year,Population,World regions according to OWID,Country Size,GDP per capita,Median Income Consumption ($/day),Lowest 10% Income Consumption ($/day)
Albania,ALB,2023,2811615,Europe,Small,14869.22,12.84,6.13
Angola,AGO,2023,36749852,Africa,Medium,8620.22,3.88,1.07
Armenia,ARM,2023,2943346,Asia,Small,19230.19,7.73,3.83
Australia,AUS,2023,26451074,Oceania,Medium,56600.44,57.72,25.06
Austria,AUT,2023,9130386,Europe,Medium,66294.72,72.68,28.74
Bangladesh,BGD,2023,171466945,Asia,Large,7888.16,6.01,2.53
Belarus,BLR,2023,9115626,Europe,Medium,26731.50,18.39,10.23
Belgium,BEL,2023,11712836,Europe,Medium,63974.25,61.04,28.73
Belize,BLZ,2023,411073,North America,Small,11486.80,14.94,4.95
Benin,BEN,2023,14110987,Africa,Medium,3464.29,4.20,1.94
Bhutan,BTN,2023,786330,Asia,Small,14061.31,15.90,7.21
Bolivia,BOL,2023,12244104,South America,Medium,9843.97,16.85,5.61
Brazil,BRA,2023,211140678,South America,Large,19018.24,15.74,4.28
Bulgaria,BGR,2023,6795757,Europe,Medium,31813.94,27.59,10.48
Burkina Faso,BFA,2023,23025738,Africa,Medium,2486.43,3.37,1.55
Burundi,BDI,2023,13689406,Africa,Medium,833.92,2.01,0.85
Cameroon,CMR,2023,28372638,Africa,Medium,4793.56,4.99,1.49
Canada,CAN,2023,39299053,North America,Medium,53274.91,67.25,31.09
Central African Republic,CAF,2023,5152373,Africa,Medium,1128.55,1.92,0.65
Chad,TCD,2023,19319025,Africa,Medium,1688.46,3.66,1.40
Chile,CHL,2023,19658791,South America,Medium,29557.39,22.83,8.86
China,CHN,2023,1422584878,Asia,Large,20406.73,13.39,5.74
Colombia,COL,2023,52321104,South America,Large,18692.39,10.95,3.26
Costa Rica,CRI,2023,5105469,North America,Medium,26292.77,18.92,6.08
Cote d'Ivoire,CIV,2023,31165592,Africa,Medium,6045.20,4.75,2.16
Croatia,HRV,2023,3895973,Europe,Small,39844.14,31.62,13.55
Cyprus,CYP,2023,1344937,Europe,Small,52882.29,49.29,24.31
Czechia,CZE,2023,10809674,Europe,Medium,50617.70,39.48,20.63
Democratic Republic of Congo,COD,2023,105789681,Africa,Large,1277.63,1.32,0.49
Denmark,DNK,2023,5948078,Europe,Medium,70865.44,61.03,30.69
Dominican Republic,DOM,2023,11331213,North America,Medium,23087.93,15.67,5.29
Ecuador,ECU,2023,17980034,South America,Medium,14472.32,12.41,3.58
Egypt,EGY,2023,114535724,Africa,Large,15579.02,7.61,3.42
El Salvador,SLV,2023,6309575,North America,Medium,11404.33,11.88,4.20
Equatorial Guinea,GNQ,2023,1847501,Africa,Small,16932.77,7.13,2.77
Estonia,EST,2023,1367143,Europe,Small,44492.12,36.88,17.09
Ethiopia,ETH,2023,128691654,Africa,Large,2588.41,3.49,1.41
Fiji,FJI,2023,924114,Oceania,Small,13567.47,7.16,3.37
Finland,FIN,2023,5601133,Europe,Medium,58024.48,56.56,28.15
France,FRA,2023,66438774,Europe,Large,55106.33,57.02,23.11
Gambia,GMB,2023,2697797,Africa,Small,2702.32,4.86,1.74
Georgia,GEO,2023,3807436,Asia,Small,22590.53,8.42,3.45
Germany,DEU,2023,84548184,Europe,Large,60747.27,67.23,28.50
Greece,GRC,2023,10242850,Europe,Medium,35956.25,27.87,11.62
Grenada,GRD,2023,117047,North America,Small,16975.25,13.92,5.83
Guatemala,GTM,2023,18124791,North America,Medium,12389.39,8.73,2.07
Guinea,GIN,2023,14405424,Africa,Medium,3455.65,5.65,1.92
Guinea-Bissau,GNB,2023,2153292,Africa,Small,2450.98,3.45,1.59
Honduras,HND,2023,10644802,North America,Medium,6468.30,7.52,1.86
Hungary,HUN,2023,9686418,Europe,Medium,40693.96,28.92,15.91
Iceland,ISL,2023,387522,Europe,Small,65663.93,60.77,29.02
India,IND,2023,1438069540,Asia,Large,8544.69,5.54,2.81
Indonesia,IDN,2023,281190021,Asia,Large,13889.88,6.17,3.10
Iran,IRN,2023,90608663,Asia,Large,15912.03,10.19,5.20
Iraq,IRQ,2023,45074010,Asia,Medium,12711.06,10.89,5.45
Israel,ISR,2023,9256261,Asia,Medium,46238.22,35.40,11.47
Italy,ITA,2023,59499408,Europe,Large,52924.61,49.94,18.89
Jamaica,JAM,2023,2839729,North America,Small,9577.16,14.29,5.95
Japan,JPN,2023,124370893,Asia,Large,43238.30,42.24,17.52
Kazakhstan,KAZ,2023,20330063,Asia,Medium,32945.85,12.24,6.77
Kenya,KEN,2023,55338953,Africa,Large,5338.85,3.16,1.36
Kiribati,KIR,2023,132494,Oceania,Small,2927.48,5.89,3.05
Kosovo,OWID_KOS,2023,1699985,Europe,Small,12362.41,0.00,0.00
