Year,Real Average Weekly Wages (Bank of England (2017)),GDP /Person rolling average
1750,43.3211769,1891
1751,44.52330617,1896
1752,42.52464772,1887
1753,43.70467394,1892
1754,41.58389524,1902
1755,44.23818644,1912
1756,42.45507338,1933
1757,32.67785821,1952
1758,32.77618677,1964
1759,37.96011496,1983
1760,38.50666113,1996
1761,40.32111114,2011
1762,38.8076142,2016
1763,42.66314346,2020
1764,38.05711343,2023
1765,36.77015789,2032
1766,36.33414811,2026
1767,34.34229499,2030
1768,37.78816726,2027
1769,41.16358092,2027
1770,41.3288965,2024
1771,36.03216788,2024
1772,34.40934854,2029
1773,34.51288722,2036
1774,34.20504183,2028
1775,35.25485304,2026
1776,36.047907,2030
1777,36.19267769,2046
1778,34.80065165,2057
1779,39.08998511,2072
1780,40.46582311,2082
1781,38.87206829,2084
1782,39.10153254,2083
1783,33.99334362,2080
1784,32.87734059,2077
1785,36.14985362,2068
1786,37.10116565,2068
1787,36.36806198,2069
1788,34.96929036,2080
1789,35.42987879,2084
1790,35.71929676,2082
1791,35.75505183,2101
1792,35.22665206,2127
1793,35.14581665,2153
1794,33.44889698,2174
1795,31.43418501,2186
1796,30.23046292,2209
1797,34.35279885,2225
1798,36.68669722,2249
1799,32.6684748,2275
1800,24.9513719,2275
1801,22.33784414,2283
1802,29.0101872,2291
1803,30.82910435,2312
1804,29.87316313,2314
1805,30.95501468,2311
1806,35.67257561,2320
1807,36.92291992,2321
1808,35.70882005,2318
1809,32.55134007,2327
1810,31.54199617,2316
1811,33.46839776,2332
1812,29.56572241,2317
1813,29.26879266,2318
1814,33.52668118,2311
1815,35.36741931,2283
1816,38.61071976,2277
1817,34.01825529,2286
1818,33.91650577,2285
1819,33.18064468,2297
1820,36.58284969,2297
1821,41.57142011,2318
1822,48.05944523,2320
1823,44.99948053,2342
1824,41.43598578,2369
1825,35.2947068,2378
1826,37.34889607,2395
1827,38.01250423,2417
1828,39.14779013,2433
1829,39.54322235,2439
1830,41.01994022,2448
1831,37.32478635,2490
1832,40.30754468,2519
1833,42.19847281,2546
1834,45.76840867,2585
1835,44.22743185,2619
1836,40.54356009,2646
1837,40.23667021,2662
1838,39.95697142,2674
1839,37.86971875,2686
1840,37.20011664,2703
1841,38.07586145,2726
1842,41.20764226,2770
1843,46.45731937,2796
1844,46.50382316,2821
1845,44.33157597,2848
