Year,Real GDP (£B),GDP Per Person,Population (England),Weat yield (Tonnes per 2000 acres),Percentage of Men in Agriculture,Labour Value in Bread (kg/h)
1200,3.5,806,4365000,453,0.75,0.4839935731
1201,,,,,,
1202,,,,,,
1203,,,,,,
1204,,,,,,
1205,,,,,,
1206,,,,,,
1207,,,,,,
1208,,,,,,
1209,,,,,,
1210,,,,,,0.3320252668
1211,,,,,,
1212,,,,,,
1213,,,,,,
1214,,,,,,
1215,,,,,,
1216,,,,,,
1217,,,,,,
1218,,,,,,
1219,,,,,,
1220,,,,,,0.2891050199
1221,,,,,,
1222,,,,,,
1223,,,,,,
1224,,,,,,
1225,,,,,,
1226,,,,,,
1227,,,,,,
1228,,,,,,
1229,,,,,,
1230,,,,,,0.2918092638
1231,,,,,,
1232,,,,,,
1233,,,,,,
1234,,,,,,
1235,,,,,,
1236,,,,,,
1237,,,,,,
1238,,,,,,
1239,,,,,,
1240,,,,,,0.2933255311
1241,,,,,,
1242,,,,,,
1243,,,,,,
1244,,,,,,
1245,,,,,,
1246,,,,,,
1247,,,,,,
1248,,,,,,
1249,,,,,,
1250,,,,,,0.2845574761
1251,,,,,,
1252,,,,,,
1253,,,,,,
1254,,,,,,
1255,,,,,,
1256,,,,,,
1257,,,,,,
1258,,,,,,
1259,,,,,,
1260,,,,,,0.294879145
1261,,,,,,
1262,,,,,,
1263,,,,,,
1264,,,,,,
1265,,,,,,
1266,,,,,,
1267,,,,,,
1268,,,,,,
1269,,,,,,
1270,3.5,806,4365000,453,0.75,0.197836789
1271,3.5,796,4372000,,,
1272,3.6,825,4379000,,,
1273,3.4,777,4385000,,,
1274,3.4,773,4392000,473,0.74,
1275,3.9,882,4399000,,,
1276,3.4,775,4406000,,,
1277,3.6,826,4413000,,,
1278,3.8,855,4420000,,,
1279,3.1,709,4427000,,,
1280,3.2,715,4455000,,,0.2452002575
1281,3.4,756,4484000,,,
1282,3.3,729,4513000,,,
1283,3.1,689,4542000,,,
1284,3.2,708,4572000,,,
1285,3.3,714,4601000,,,
1286,3.2,699,4631000,,,
1287,3.5,761,4661000,,,
1288,3.4,734,4691000,,,
1289,3.2,673,4721000,,,
1290,3.2,679,4751000,,,0.1894463895
1291,3.2,680,4749000,,,
1292,3.4,717,4746000,,,
1293,3.5,734,4744000,,,
1294,3.5,729,4741000,,,
1295,3.7,781,4739000,,,
1296,3.9,813,4736000,,,
1297,3.7,778,4734000,,,
1298,3.9,819,4731000,,,
1299,3.7,789,4729000,,,
1300,3.7,784,4726000,,,0.2366975868
1301,3.7,790,4724000,,,
1302,3.8,811,4721000,,,
1303,4.0,845,4719000,,,
1304,3.6,765,4716000,,,
1305,3.7,786,4714000,,,
1306,3.6,764,4711000,,,
1307,3.8,801,4709000,,,
1308,3.8,811,4706000,,,
1309,3.9,831,4704000,,,
1310,3.9,821,4702000,,,0.1695743906
1311,4.0,850,4699000,,,
1312,3.9,828,4697000,,,
1313,4.0,843,4694000,,,
1314,4.0,843,4692000,,,
1315,3.6,758,4689000,,,
1316,3.4,725,4628000,,,
