,Country,Region,Population,Average Government Expenditure as % of GDP,Average percentage change in GDP per capita USD,start_year,end_year
0,Americas_avg,Americas,28906786.0,4.254014316429955,2.467993775570241,1850,1855
1,Europe_avg,Europe,46922111.0,8.371925494314807,2.3189215351543746,1850,1855
2,Americas_avg,Americas,29756504.0,4.49648473196608,2.000631307538847,1851,1856
3,Europe_avg,Europe,47204023.0,8.644956227336673,2.2266976536635186,1851,1856
4,Americas_avg,Americas,30631411.0,4.720940234051249,0.9476009639071936,1852,1857
5,Europe_avg,Europe,47487705.0,8.89202942712216,1.767667357602094,1852,1857
6,Americas_avg,Americas,31532258.0,4.927294951728494,0.2835055570369871,1853,1858
7,Europe_avg,Europe,47773171.0,9.113056159098244,0.9184417444935322,1853,1858
8,Americas_avg,Americas,32416542.0,5.1154382184457665,0.7079142537826622,1854,1859
9,Europe_avg,Europe,48068042.0,9.307911808599007,1.098725995124381,1854,1859
10,Americas_avg,Americas,33282773.0,5.285488958412235,1.4175091160333642,1855,1860
11,Europe_avg,Europe,48372460.0,9.476732872803053,1.3297141701533421,1855,1860
12,Americas_avg,Americas,34129395.0,5.437491731675547,0.711995442920883,1856,1861
13,Europe_avg,Europe,48686571.0,9.619548841165143,0.7065222162680396,1856,1861
14,Americas_avg,Americas,34954781.0,5.571393720530935,1.2012312480790177,1857,1862
15,Europe_avg,Europe,49010521.0,9.736318341717832,-0.05634989584064165,1857,1862
16,Americas_avg,Americas,35757229.0,5.687117311678551,2.022771255120688,1858,1863
17,Europe_avg,Europe,49344457.0,9.826964322400771,1.4543790716463212,1858,1863
18,Americas_avg,Americas,36578153.0,5.784748376075363,2.139294086583634,1859,1864
19,Europe_avg,Europe,49680921.0,9.891575717786997,0.940659836728881,1859,1864
20,Americas_avg,Americas,37417976.0,5.8642984205168185,0.7506808002611365,1860,1865
21,Europe_avg,Europe,50019932.0,9.930134454725689,0.5903186260532944,1860,1865
22,Americas_avg,Americas,38277135.0,5.925747680550351,1.08567782083548,1861,1866
23,Europe_avg,Europe,50361511.0,9.942646723854978,1.3590269163708335,1861,1866
24,Americas_avg,Americas,39156076.0,5.96905159612831,0.9715449846977586,1862,1867
25,Europe_avg,Europe,50705679.0,9.929083035720097,2.002605803343638,1862,1867
26,Americas_avg,Americas,40055256.0,5.994262984955465,0.32639459023531714,1863,1868
27,Europe_avg,Europe,51052458.0,9.889484762288498,0.16345912691974718,1863,1868
28,Americas_avg,Americas,40968437.0,6.001360300575064,0.46552122153443953,1864,1869
29,Europe_avg,Europe,51413167.0,9.823786267803795,0.1792635437949519,1864,1869
30,Americas_avg,Americas,47450276.0,6.060356831786739,-1.5955089837044478,1865,1870
