,Year,Population,Country,GDP per capita (OWiD),"Government Expenditure (IMF, Wiki, Statistica)",Region,Subregion
0,2003,22645136.0,Afghanistan,842.8052,14.06612913,Asia,Southern Asia
1,2004,23553554.0,Afghanistan,869.03925,15.6573216,Asia,Southern Asia
2,2005,24411196.0,Afghanistan,964.4081,17.20629674,Asia,Southern Asia
3,2006,25442946.0,Afghanistan,1057.0966,21.53552863,Asia,Southern Asia
4,2007,25903306.0,Afghanistan,1259.9967,21.99190354,Asia,Southern Asia
5,2008,26427204.0,Afghanistan,1319.6074,21.54948714,Asia,Southern Asia
6,2009,27385310.0,Afghanistan,1557.3207,21.86447458,Asia,Southern Asia
7,2010,28189672.0,Afghanistan,1627.6716,21.11169652,Asia,Southern Asia
8,2011,29249156.0,Afghanistan,1792.0,22.9868095,Asia,Southern Asia
9,1997,3253721.0,Albania,3526.9856,37.17889666,Europe,Southern Europe
10,1998,3232185.0,Albania,3873.373,43.26433453,Europe,Southern Europe
11,1999,3208265.0,Albania,4432.0425,42.38211984,Europe,Southern Europe
12,2000,3182027.0,Albania,4808.4795,38.47335767,Europe,Southern Europe
13,2001,3153615.0,Albania,5285.809,36.26489263,Europe,Southern Europe
14,2002,3123554.0,Albania,5608.9624,34.89083729,Europe,Southern Europe
15,2003,3092993.0,Albania,6004.645,32.99615023,Europe,Southern Europe
16,2004,3062629.0,Albania,6419.8706,33.19105055,Europe,Southern Europe
17,2005,3032636.0,Albania,6858.4673,31.49977819,Europe,Southern Europe
18,2006,3003391.0,Albania,7347.33,32.18591059,Europe,Southern Europe
19,2007,2976089.0,Albania,7866.1577,31.92286627,Europe,Southern Europe
20,2008,2951690.0,Albania,8522.13,34.70968038,Europe,Southern Europe
21,2009,2930553.0,Albania,8859.472,36.54311026,Europe,Southern Europe
22,2010,2913402.0,Albania,9222.973,33.38815055,Europe,Southern Europe
23,2011,2900660.0,Albania,9484.0,31.65025311,Europe,Southern Europe
24,1990,25518074.0,Algeria,4697.0,27.33405483,Africa,Northern Africa
25,1991,26133906.0,Algeria,4708.232,29.60451532,Africa,Northern Africa
26,1992,26748302.0,Algeria,4850.223,30.87610904,Africa,Northern Africa
27,1993,27354326.0,Algeria,4816.924,35.09082779,Africa,Northern Africa
28,1994,27937006.0,Algeria,4856.9854,33.81625656,Africa,Northern Africa
29,1995,28478024.0,Algeria,5142.384,32.48330416,Africa,Northern Africa
30,1996,28984640.0,Algeria,5451.6343,31.65634241,Africa,Northern Africa
31,1997,29476030.0,Algeria,5638.48,34.33483203,Africa,Northern Africa
32,1998,29924664.0,Algeria,6069.7773,34.85374462,Africa,Northern Africa
33,1999,30346086.0,Algeria,6421.5083,35.65793028,Africa,Northern Africa
34,2000,30774624.0,Algeria,6834.5537,32.50571117,Africa,Northern Africa
35,2001,31200984.0,Algeria,7218.2456,34.74164321,Africa,Northern Africa
36,2002,31624700.0,Algeria,7814.8384,37.31860794,Africa,Northern Africa
37,2003,32055882.0,Algeria,8590.178,34.37208461,Africa,Northern Africa
38,2004,32510184.0,Algeria,9182.294,32.15125791,Africa,Northern Africa
39,2005,32956690.0,Algeria,9969.623,28.10458873,Africa,Northern Africa
